2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=87, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=88, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=89, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=90, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=91, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=92, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=93, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=94, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=95, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=96, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=97, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=98, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=99, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=100, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=101, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=102, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=103, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=104, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=105, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=106, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=107, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=108, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=109, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=110, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=111, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=112, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=113, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=114, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=115, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=116, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=117, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=118, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=119, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=120, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=121, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=122, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=123, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=124, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=125, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=126, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=127, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=128, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=129, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=130, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=131, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=132, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=133, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=134, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=135, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=136, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=137, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=138, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=139, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=140, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=141, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=142, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=143, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=144, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.824 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=145, onoff=1 cctdlg.cpp:640
